Input Index,Stereo Set,Data Type,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DATA_K_BP,LAMBDA_BP,SIGMA_BP,Memory Optimization Level,Indexing Optimization Level,Blur Images Parallel Dimensions,Init Message Values Parallel Dimensions,Level 0 Data Costs Parallel Dimensions,Level 1 Data Costs Parallel Dimensions,Level 2 Data Costs Parallel Dimensions,Level 3 Data Costs Parallel Dimensions,Level 4 Data Costs Parallel Dimensions,Level 0 BP Thread Parallel Dimensions,Level 1 BP Thread Parallel Dimensions,Level 2 BP Thread Parallel Dimensions,Level 3 BP Thread Parallel Dimensions,Level 4 BP Thread Parallel Dimensions,Level 0 Copy Thread Parallel Dimensions,Level 1 Copy Thread Parallel Dimensions,Level 2 Copy Thread Parallel Dimensions,Level 3 Copy Thread Parallel Dimensions,Level 4 Copy Thread Parallel Dimensions,Get Output Disparity Parallel Dimensions,Run Success,Acceleration,Device 0,Cuda version,Cuda Runtime Version,Image Width,Image Height,Time init settings malloc (15 timings),Level 0 Data Costs (15 timings),Level 1 Data Costs (15 timings),Level 2 Data Costs (15 timings),Level 3 Data Costs (15 timings),Level 4 Data Costs (15 timings),Level 5 Data Costs (No timings) ,Level 6 Data Costs (No timings) ,Level 7 Data Costs (No timings) ,Level 8 Data Costs (No timings) ,Level 9 Data Costs (No timings) ,Total time get data costs after bottom level (15 timings),Time to init message values (15 timings),Time to init message values (kernel portion only) (15 timings),Total time BP Iters (15 timings),Total time Copy Data (15 timings),Total time Copy Data (kernel portion only) (15 timings),Total time Copy Data (memory management portion only) (No timings) ,Time get output disparity (15 timings),Time final free (15 timings),Total timed (15 timings),Smoothing Runtime (15 timings),Level 0 BP Runtime (15 timings),Level 1 BP Runtime (15 timings),Level 2 BP Runtime (15 timings),Level 3 BP Runtime (15 timings),Level 4 BP Runtime (15 timings),Level 5 BP Runtime (No timings) ,Level 6 BP Runtime (No timings) ,Level 7 BP Runtime (No timings) ,Level 8 BP Runtime (No timings) ,Level 9 BP Runtime (No timings) ,Level 0 Copy Runtime (15 timings),Level 1 Copy Runtime (15 timings),Level 2 Copy Runtime (15 timings),Level 3 Copy Runtime (15 timings),Level 4 Copy Runtime (15 timings),Level 5 Copy Runtime (No timings) ,Level 6 Copy Runtime (No timings) ,Level 7 Copy Runtime (No timings) ,Level 8 Copy Runtime (No timings) ,Level 9 Copy Runtime (No timings) ,Total BP Runtime (15 timings),Total Runtime not including data transfer time (15 timings),Total runtime including data transfer time (15 timings),Median Optimized Runtime (including transfer time),Average Single-Thread CPU run time,CUDA output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,CUDA output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,
0,tsukubaSetHalfSize,FLOAT,16,8,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,128 x 4,32 x 2,64 x 3,256 x 1,32 x 1,32 x 1,32 x 4,32 x 1,64 x 1,32 x 2,256 x 1,32 x 2,16 x 1,16 x 1,256 x 1,32 x 1,256 x 1,32 x 1,YES,CUDA,Tesla V100-SXM2-16GB with 80 multiprocessors,12030,12030,192,144,0.000000,0.000010,0.000020,0.000020,0.000019,0.000021,YES,YES,YES,YES,YES,0.000080,0.000009,0.000009,0.000392,0.000098,0.000097,YES,0.000014,0.000000,0.000615,0.000097,0.000086,0.000078,0.000075,0.000076,0.000076,YES,YES,YES,YES,YES,0.000000,0.000025,0.000024,0.000025,0.000024,YES,YES,YES,YES,YES,0.000632,0.000728,0.000775,0.000775,0.017841,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.747535,0.587026,0.747535,1.009480,1.446111,0.935184,0.967280,0.747535,0.587026,1.009480,1.446111,
0,tsukubaSetHalfSize,FLOAT,16,8,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,64 x 7,256 x 2,64 x 7,256 x 1,128 x 1,128 x 1,64 x 7,256 x 1,64 x 4,128 x 1,128 x 1,256 x 1,16 x 1,256 x 1,128 x 1,128 x 1,128 x 1,256 x 2,YES,CUDA,Tesla V100-SXM2-16GB with 80 multiprocessors,12030,12030,192,144,0.000000,0.000010,0.000022,0.000022,0.000022,0.000025,YES,YES,YES,YES,YES,0.000090,0.000009,0.000009,0.000740,0.000096,0.000095,YES,0.000014,0.000000,0.000961,0.000097,0.000150,0.000153,0.000140,0.000145,0.000147,YES,YES,YES,YES,YES,0.000000,0.000024,0.000022,0.000024,0.000024,YES,YES,YES,YES,YES,0.000981,0.001077,0.001121,0.001121,0.017570,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.153553,0.622508,1.153553,1.117486,No Data,0.843919,1.012182,1.153553,0.622508,1.117486,No Data,
1,tsukubaSet,FLOAT,16,8,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,32 x 12,128 x 1,32 x 1,32 x 1,64 x 1,256 x 1,16 x 1,32 x 1,16 x 1,16 x 1,32 x 2,256 x 1,16 x 1,128 x 2,128 x 1,32 x 1,256 x 1,32 x 2,YES,CUDA,Tesla V100-SXM2-16GB with 80 multiprocessors,12030,12030,384,288,0.000000,0.000022,0.000042,0.000027,0.000022,0.000022,YES,YES,YES,YES,YES,0.000113,0.000010,0.000010,0.000752,0.000226,0.000225,YES,0.000062,0.000000,0.001186,0.000298,0.000363,0.000117,0.000088,0.000085,0.000085,YES,YES,YES,YES,YES,0.000000,0.000119,0.000046,0.000027,0.000032,YES,YES,YES,YES,YES,0.001212,0.001512,0.001662,0.001662,0.190513,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.353589,0.626407,1.353589,1.002910,1.785995,0.744383,1.152268,1.353589,0.626407,1.002910,1.785995,
1,tsukubaSet,FLOAT,16,8,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,64 x 5,32 x 3,32 x 1,128 x 2,128 x 1,64 x 1,64 x 1,256 x 2,32 x 6,16 x 1,16 x 1,256 x 1,16 x 1,256 x 1,256 x 1,256 x 1,128 x 1,32 x 1,YES,CUDA,Tesla V100-SXM2-16GB with 80 multiprocessors,12030,12030,384,288,0.000001,0.000023,0.000055,0.000035,0.000028,0.000028,YES,YES,YES,YES,YES,0.000147,0.000010,0.000010,0.001993,0.000228,0.000228,YES,0.000064,0.000000,0.002473,0.000299,0.001070,0.000314,0.000196,0.000193,0.000211,YES,YES,YES,YES,YES,0.000000,0.000119,0.000048,0.000028,0.000034,YES,YES,YES,YES,YES,0.002500,0.002795,0.002968,0.002968,0.189094,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.167329,0.645070,1.167329,1.040418,No Data,0.608622,1.250358,1.167329,0.645070,1.040418,No Data,
2,venus,FLOAT,16,8,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,32 x 6,64 x 2,16 x 1,128 x 2,256 x 1,64 x 1,64 x 1,64 x 2,32 x 5,64 x 1,64 x 2,64 x 1,16 x 1,128 x 2,64 x 1,64 x 1,64 x 1,32 x 8,YES,CUDA,Tesla V100-SXM2-16GB with 80 multiprocessors,12030,12030,434,383,0.000001,0.000040,0.000069,0.000032,0.000028,0.000028,YES,YES,YES,YES,YES,0.000160,0.000010,0.000010,0.001194,0.000387,0.000386,YES,0.000114,0.000000,0.001912,0.000433,0.000668,0.000228,0.000100,0.000097,0.000096,YES,YES,YES,YES,YES,0.000000,0.000237,0.000077,0.000033,0.000037,YES,YES,YES,YES,YES,0.001939,0.002365,0.002596,0.002596,0.482300,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.425272,0.909311,1.425272,1.026680,2.151787,0.649805,1.195813,1.425272,0.909311,1.026680,2.151787,
2,venus,FLOAT,16,8,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,256 x 1,128 x 1,32 x 1,128 x 1,32 x 1,256 x 1,16 x 1,256 x 2,256 x 1,64 x 2,16 x 1,256 x 1,16 x 1,128 x 2,16 x 1,16 x 1,64 x 1,256 x 1,YES,CUDA,Tesla V100-SXM2-16GB with 80 multiprocessors,12030,12030,434,383,0.000001,0.000040,0.000080,0.000043,0.000038,0.000038,YES,YES,YES,YES,YES,0.000199,0.000010,0.000010,0.004169,0.000389,0.000389,YES,0.000110,0.000000,0.004927,0.000415,0.002710,0.000667,0.000272,0.000245,0.000268,YES,YES,YES,YES,YES,0.000000,0.000238,0.000078,0.000034,0.000039,YES,YES,YES,YES,YES,0.004951,0.005363,0.005587,0.005587,0.476438,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.006118,0.918575,1.006118,1.061569,No Data,0.590566,1.329861,1.006118,0.918575,1.061569,No Data,
3,barn1,FLOAT,16,8,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,32 x 8,128 x 1,16 x 1,64 x 2,64 x 1,16 x 1,64 x 1,32 x 5,256 x 1,64 x 2,256 x 1,128 x 1,16 x 1,128 x 1,16 x 1,64 x 3,256 x 1,256 x 1,YES,CUDA,Tesla V100-SXM2-16GB with 80 multiprocessors,12030,12030,432,381,0.000001,0.000052,0.000093,0.000049,0.000034,0.000033,YES,YES,YES,YES,YES,0.000211,0.000010,0.000010,0.002645,0.000648,0.000648,YES,0.000151,0.000000,0.003724,0.000413,0.001703,0.000536,0.000170,0.000116,0.000115,YES,YES,YES,YES,YES,0.000000,0.000433,0.000113,0.000062,0.000039,YES,YES,YES,YES,YES,0.003753,0.004175,0.004393,0.004393,0.774284,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.305593,0.826034,No Data,1.089415,2.488904,0.445293,1.188406,1.305593,0.826034,1.089415,2.488904,
3,barn1,FLOAT,16,8,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,64 x 7,64 x 1,16 x 1,256 x 1,32 x 1,16 x 1,128 x 1,256 x 1,128 x 3,32 x 1,256 x 1,64 x 1,16 x 1,256 x 1,16 x 1,32 x 1,256 x 1,256 x 1,YES,CUDA,Tesla V100-SXM2-16GB with 80 multiprocessors,12030,12030,432,381,0.000001,0.000052,0.000112,0.000073,0.000050,0.000050,YES,YES,YES,YES,YES,0.000287,0.000011,0.000011,0.009122,0.000647,0.000647,YES,0.000149,0.000000,0.010273,0.000419,0.006688,0.001275,0.000478,0.000321,0.000360,YES,YES,YES,YES,YES,0.000000,0.000434,0.000114,0.000053,0.000045,YES,YES,YES,YES,YES,0.010302,0.010718,0.010934,0.010934,0.756657,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.612496,0.837527,No Data,1.068029,No Data,0.667948,1.490827,0.612496,0.837527,1.068029,No Data,
4,conesQuarterSize,FLOAT,16,8,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,32 x 6,256 x 1,256 x 1,64 x 1,32 x 3,256 x 1,32 x 1,32 x 5,32 x 5,32 x 4,64 x 1,64 x 3,16 x 1,128 x 2,64 x 3,32 x 1,32 x 4,256 x 1,YES,CUDA,Tesla V100-SXM2-16GB with 80 multiprocessors,12030,12030,450,375,0.000001,0.000159,0.000175,0.000088,0.000058,0.000050,YES,YES,YES,YES,YES,0.000372,0.000013,0.000012,0.012176,0.001387,0.001387,YES,0.000308,0.000000,0.014399,0.000425,0.008561,0.002196,0.000656,0.000434,0.000308,YES,YES,YES,YES,YES,0.000000,0.000970,0.000220,0.000111,0.000083,YES,YES,YES,YES,YES,0.014423,0.014862,0.015131,0.015131,1.721023,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.099127,0.768543,No Data,1.092911,1.660321,0.449464,2.375416,1.099127,0.768543,1.092911,1.660321,
4,conesQuarterSize,FLOAT,16,8,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,32 x 8,128 x 1,256 x 1,64 x 1,32 x 1,256 x 1,128 x 1,256 x 1,256 x 1,32 x 1,128 x 1,256 x 1,16 x 1,128 x 3,64 x 3,256 x 1,16 x 1,256 x 1,YES,CUDA,Tesla V100-SXM2-16GB with 80 multiprocessors,12030,12030,450,375,0.000001,0.000157,0.000208,0.000135,0.000096,0.000084,YES,YES,YES,YES,YES,0.000526,0.000013,0.000012,0.022075,0.001349,0.001349,YES,0.000301,0.000000,0.024426,0.000429,0.015974,0.003780,0.001139,0.000580,0.000585,YES,YES,YES,YES,YES,0.000000,0.000955,0.000218,0.000110,0.000067,YES,YES,YES,YES,YES,0.024458,0.024896,0.025123,0.025123,1.729079,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.726758,0.771220,No Data,1.096577,No Data,0.684120,1.339962,0.726758,0.771220,1.096577,No Data,
5,conesHalfSize,FLOAT,16,8,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,1,1,32 x 6,64 x 2,32 x 1,256 x 1,128 x 1,32 x 1,64 x 1,128 x 1,256 x 1,32 x 5,32 x 1,64 x 1,16 x 1,256 x 1,128 x 2,64 x 1,256 x 1,256 x 1,YES,CUDA,Tesla V100-SXM2-16GB with 80 multiprocessors,12030,12030,900,750,0.000001,0.001385,0.001082,0.000327,0.000155,0.000120,YES,YES,YES,YES,YES,0.001686,0.000019,0.000019,0.122208,0.010587,0.010587,YES,0.002634,0.000000,0.138487,0.001733,0.090300,0.022910,0.005914,0.001799,0.001244,YES,YES,YES,YES,YES,0.000000,0.007930,0.002018,0.000423,0.000198,YES,YES,YES,YES,YES,0.138523,0.140300,0.141011,0.141011,14.247528,,4.300188,4.300188,0.691908,0.197144,0.147879,0.107778,,4.300188,4.300188,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.622925,0.717086,No Data,1.029762,1.450127,0.435560,1.999825,1.622925,0.717086,1.029762,1.450127,
5,conesHalfSize,FLOAT,16,8,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,1,1,64 x 6,16 x 1,256 x 2,256 x 1,128 x 1,32 x 1,256 x 1,32 x 1,256 x 1,128 x 2,32 x 1,64 x 1,16 x 1,256 x 1,128 x 3,64 x 3,64 x 1,32 x 1,YES,CUDA,Tesla V100-SXM2-16GB with 80 multiprocessors,12030,12030,900,750,0.000001,0.001356,0.001157,0.000391,0.000249,0.000213,YES,YES,YES,YES,YES,0.002009,0.000019,0.000018,0.185383,0.010515,0.010514,YES,0.002592,0.000001,0.201900,0.001772,0.136134,0.035287,0.009540,0.002993,0.001432,YES,YES,YES,YES,YES,0.000000,0.007926,0.001974,0.000424,0.000201,YES,YES,YES,YES,YES,0.201954,0.203732,0.204485,0.204485,14.481142,,4.300188,4.300188,0.691908,0.197144,0.147879,0.107778,,4.300188,4.300188,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.132272,0.708307,No Data,1.114588,No Data,0.716471,1.329185,1.132272,0.708307,1.114588,No Data,
