Input Index,Stereo Set,Data Type,BYTES_ALIGN_MEMORY,NUM_DATA_ALIGN_WIDTH,Loop Iters Templated,Num Possible Disparity Values,Num BP Levels,Num BP Iterations,DISC_K_BP,DATA_K_BP,LAMBDA_BP,SIGMA_BP,Memory Optimization Level,Indexing Optimization Level,Blur Images Parallel Dimensions,Init Message Values Parallel Dimensions,Level 0 Data Costs Parallel Dimensions,Level 1 Data Costs Parallel Dimensions,Level 2 Data Costs Parallel Dimensions,Level 3 Data Costs Parallel Dimensions,Level 4 Data Costs Parallel Dimensions,Level 0 BP Thread Parallel Dimensions,Level 1 BP Thread Parallel Dimensions,Level 2 BP Thread Parallel Dimensions,Level 3 BP Thread Parallel Dimensions,Level 4 BP Thread Parallel Dimensions,Level 0 Copy Thread Parallel Dimensions,Level 1 Copy Thread Parallel Dimensions,Level 2 Copy Thread Parallel Dimensions,Level 3 Copy Thread Parallel Dimensions,Level 4 Copy Thread Parallel Dimensions,Get Output Disparity Parallel Dimensions,Run Success,Acceleration,Device 0,Cuda version,Cuda Runtime Version,Image Width,Image Height,Time init settings malloc (15 timings),Level 0 Data Costs (15 timings),Level 1 Data Costs (15 timings),Level 2 Data Costs (15 timings),Level 3 Data Costs (15 timings),Level 4 Data Costs (15 timings),Level 5 Data Costs (No timings) ,Level 6 Data Costs (No timings) ,Level 7 Data Costs (No timings) ,Level 8 Data Costs (No timings) ,Level 9 Data Costs (No timings) ,Total time get data costs after bottom level (15 timings),Time to init message values (15 timings),Time to init message values (kernel portion only) (15 timings),Total time BP Iters (15 timings),Total time Copy Data (15 timings),Total time Copy Data (kernel portion only) (15 timings),Total time Copy Data (memory management portion only) (No timings) ,Time get output disparity (15 timings),Time final free (15 timings),Total timed (15 timings),Smoothing Runtime (15 timings),Level 0 BP Runtime (15 timings),Level 1 BP Runtime (15 timings),Level 2 BP Runtime (15 timings),Level 3 BP Runtime (15 timings),Level 4 BP Runtime (15 timings),Level 5 BP Runtime (No timings) ,Level 6 BP Runtime (No timings) ,Level 7 BP Runtime (No timings) ,Level 8 BP Runtime (No timings) ,Level 9 BP Runtime (No timings) ,Level 0 Copy Runtime (15 timings),Level 1 Copy Runtime (15 timings),Level 2 Copy Runtime (15 timings),Level 3 Copy Runtime (15 timings),Level 4 Copy Runtime (15 timings),Level 5 Copy Runtime (No timings) ,Level 6 Copy Runtime (No timings) ,Level 7 Copy Runtime (No timings) ,Level 8 Copy Runtime (No timings) ,Level 9 Copy Runtime (No timings) ,Total BP Runtime (15 timings),Total Runtime not including data transfer time (15 timings),Total runtime including data transfer time (15 timings),Median Optimized Runtime (including transfer time),Average Single-Thread CPU run time,CUDA output vs. Ground Truth result,Average RMS error,Average RMS error (with disparity error cap at 10.010000),Proportion bad pixels (error less than 0.001000),Proportion bad pixels (error less than 2.010000),Proportion bad pixels (error less than 5.010000),Proportion bad pixels (error less than 10.010000),Single-Thread CPU output vs. Ground Truth result,Average RMS error_1,Average RMS error (with disparity error cap at 10.010000)_1,Proportion bad pixels (error less than 0.001000)_1,Proportion bad pixels (error less than 2.010000)_1,Proportion bad pixels (error less than 5.010000)_1,Proportion bad pixels (error less than 10.010000)_1,CUDA output vs. Single-Thread CPU result,Average RMS error_2,Average RMS error (with disparity error cap at 10.010000)_2,Proportion bad pixels (error less than 0.001000)_2,Proportion bad pixels (error less than 2.010000)_2,Proportion bad pixels (error less than 5.010000)_2,Proportion bad pixels (error less than 10.010000)_2,Speedup relative to AMD Rome (48 Cores) - FLOAT,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - FLOAT,Speedup relative to AMD Rome (48 Cores) on smallest 3 stereo sets - FLOAT,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - FLOAT,Speedup w/ templated disparity count (known at compile-time) - FLOAT,Speedup using double-precision relative to float (actually slowdown),Speedup using half-precision relative to float,Speedup relative to AMD Rome (48 Cores) - All Runs,Single-Thread (Orig Imp) speedup relative to AMD Rome (48 Cores) - All Runs,Speedup Over Default OMP Thread Count / CUDA Thread Block Dimensions - All Runs,Speedup w/ templated disparity count (known at compile-time) - All Runs,
0,tsukubaSetHalfSize,FLOAT,16,8,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,32 x 12,32 x 3,128 x 4,64 x 1,64 x 3,32 x 10,64 x 5,32 x 4,256 x 1,32 x 2,32 x 4,32 x 4,16 x 1,128 x 1,64 x 2,32 x 5,64 x 2,32 x 4,YES,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12030,12030,192,144,0.000000,0.000012,0.000024,0.000024,0.000023,0.000022,YES,YES,YES,YES,YES,0.000094,0.000010,0.000010,0.000431,0.000112,0.000111,YES,0.000015,0.000000,0.000678,0.000101,0.000091,0.000087,0.000085,0.000085,0.000084,YES,YES,YES,YES,YES,0.000000,0.000029,0.000028,0.000028,0.000027,YES,YES,YES,YES,YES,0.000697,0.000799,0.000838,0.000838,0.018301,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.691843,0.572263,0.691843,1.003208,1.546173,0.909181,0.856692,0.691843,0.572263,1.003208,1.546173,
0,tsukubaSetHalfSize,FLOAT,16,8,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,32 x 2,32 x 3,256 x 2,64 x 5,32 x 8,32 x 10,32 x 5,128 x 1,32 x 1,32 x 2,32 x 5,64 x 3,16 x 1,128 x 1,32 x 2,32 x 5,32 x 4,128 x 4,YES,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12030,12030,192,144,0.000000,0.000012,0.000029,0.000028,0.000027,0.000025,YES,YES,YES,YES,YES,0.000110,0.000010,0.000010,0.000865,0.000114,0.000113,YES,0.000019,0.000000,0.001131,0.000103,0.000176,0.000174,0.000175,0.000169,0.000168,YES,YES,YES,YES,YES,0.000000,0.000029,0.000029,0.000027,0.000027,YES,YES,YES,YES,YES,0.001150,0.001254,0.001295,0.001295,0.018320,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.998521,0.597010,0.998521,1.017795,No Data,0.906835,0.989619,0.998521,0.597010,1.017795,No Data,
1,tsukubaSet,FLOAT,16,8,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,32 x 10,64 x 2,128 x 2,256 x 1,128 x 2,32 x 4,32 x 10,64 x 2,32 x 4,256 x 1,256 x 1,32 x 4,16 x 1,16 x 1,256 x 1,16 x 1,256 x 1,64 x 3,YES,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12030,12030,384,288,0.000001,0.000016,0.000030,0.000029,0.000028,0.000028,YES,YES,YES,YES,YES,0.000115,0.000011,0.000011,0.000608,0.000184,0.000183,YES,0.000041,0.000000,0.000976,0.000297,0.000198,0.000107,0.000098,0.000098,0.000100,YES,YES,YES,YES,YES,0.000000,0.000067,0.000038,0.000037,0.000042,YES,YES,YES,YES,YES,0.000999,0.001299,0.001428,0.001428,0.197416,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.574989,0.604506,1.574989,1.010200,1.671681,0.796381,1.017309,1.574989,0.604506,1.010200,1.671681,
1,tsukubaSet,FLOAT,16,8,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,32 x 14,64 x 2,128 x 2,128 x 1,64 x 1,32 x 8,32 x 10,64 x 4,32 x 4,32 x 1,64 x 2,16 x 1,16 x 1,32 x 4,256 x 1,128 x 1,32 x 1,128 x 1,YES,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12030,12030,384,288,0.000001,0.000016,0.000039,0.000037,0.000036,0.000035,YES,YES,YES,YES,YES,0.000148,0.000011,0.000011,0.001511,0.000186,0.000186,YES,0.000050,0.000000,0.001922,0.000301,0.000509,0.000250,0.000245,0.000241,0.000264,YES,YES,YES,YES,YES,0.000000,0.000067,0.000039,0.000037,0.000043,YES,YES,YES,YES,YES,0.001948,0.002251,0.002387,0.002387,0.191554,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.451146,0.636785,1.451146,1.014965,No Data,0.696125,1.074715,1.451146,0.636785,1.014965,No Data,
2,venus,FLOAT,16,8,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,128 x 2,64 x 2,64 x 1,128 x 2,256 x 1,256 x 1,16 x 1,32 x 1,128 x 1,64 x 1,16 x 1,32 x 4,16 x 1,128 x 2,16 x 1,32 x 1,128 x 1,256 x 1,YES,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12030,12030,434,383,0.000001,0.000020,0.000046,0.000037,0.000036,0.000036,YES,YES,YES,YES,YES,0.000156,0.000012,0.000012,0.000893,0.000281,0.000281,YES,0.000090,0.000000,0.001450,0.000423,0.000428,0.000131,0.000111,0.000109,0.000109,YES,YES,YES,YES,YES,0.000000,0.000133,0.000049,0.000050,0.000049,YES,YES,YES,YES,YES,0.001477,0.001905,0.002105,0.002105,0.484467,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.757844,0.905244,1.757844,1.010605,1.826303,0.734501,1.086911,1.757844,0.905244,1.010605,1.826303,
2,venus,FLOAT,16,8,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,128 x 2,32 x 1,64 x 1,128 x 2,128 x 1,16 x 1,32 x 3,256 x 2,256 x 2,32 x 2,32 x 3,32 x 3,16 x 1,256 x 2,16 x 1,64 x 1,128 x 1,256 x 1,YES,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12030,12030,434,383,0.000001,0.000020,0.000065,0.000052,0.000051,0.000051,YES,YES,YES,YES,YES,0.000219,0.000012,0.000012,0.002570,0.000284,0.000284,YES,0.000086,0.000000,0.003194,0.000427,0.001307,0.000349,0.000308,0.000300,0.000303,YES,YES,YES,YES,YES,0.000000,0.000134,0.000050,0.000051,0.000049,YES,YES,YES,YES,YES,0.003220,0.003646,0.003845,0.003845,0.480623,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.462036,0.910577,1.462036,1.036026,No Data,0.639466,1.182414,1.462036,0.910577,1.036026,No Data,
3,barn1,FLOAT,16,8,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,128 x 1,32 x 2,64 x 2,128 x 1,256 x 1,16 x 1,16 x 1,32 x 5,256 x 1,256 x 1,16 x 1,16 x 1,16 x 1,256 x 1,16 x 1,16 x 1,128 x 2,256 x 1,YES,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12030,12030,432,381,0.000000,0.000023,0.000056,0.000046,0.000043,0.000043,YES,YES,YES,YES,YES,0.000188,0.000012,0.000012,0.001509,0.000393,0.000393,YES,0.000122,0.000000,0.002251,0.000421,0.000860,0.000253,0.000133,0.000130,0.000129,YES,YES,YES,YES,YES,0.000000,0.000203,0.000070,0.000058,0.000061,YES,YES,YES,YES,YES,0.002278,0.002698,0.002884,0.002884,0.775336,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.988646,0.824913,No Data,1.041971,2.085211,0.540345,1.169618,1.988646,0.824913,1.041971,2.085211,
3,barn1,FLOAT,16,8,NO,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,64 x 5,64 x 2,64 x 1,128 x 1,128 x 1,16 x 1,64 x 4,256 x 2,256 x 2,256 x 1,32 x 1,32 x 4,16 x 1,256 x 2,32 x 2,32 x 1,32 x 1,256 x 1,YES,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12030,12030,432,381,0.000001,0.000023,0.000077,0.000069,0.000067,0.000067,YES,YES,YES,YES,YES,0.000281,0.000012,0.000012,0.004531,0.000397,0.000397,YES,0.000117,0.000000,0.005362,0.000424,0.002678,0.000617,0.000428,0.000408,0.000402,YES,YES,YES,YES,YES,0.000000,0.000204,0.000064,0.000064,0.000064,YES,YES,YES,YES,YES,0.005391,0.005818,0.006014,0.006014,0.767395,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.113553,0.825808,No Data,1.077418,No Data,0.601702,1.311744,1.113553,0.825808,1.077418,No Data,
4,conesQuarterSize,FLOAT,16,8,YES,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,32 x 4,64 x 2,32 x 1,64 x 4,128 x 1,256 x 1,64 x 3,32 x 5,256 x 1,32 x 1,256 x 1,256 x 1,16 x 1,128 x 2,128 x 1,64 x 3,32 x 1,256 x 1,YES,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12030,12030,450,375,0.000000,0.000054,0.000139,0.000081,0.000086,0.000065,YES,YES,YES,YES,YES,0.000371,0.000014,0.000013,0.006410,0.000780,0.000779,YES,0.000224,0.000000,0.007853,0.000431,0.004355,0.001117,0.000402,0.000257,0.000273,YES,YES,YES,YES,YES,0.000000,0.000411,0.000151,0.000124,0.000090,YES,YES,YES,YES,YES,0.007877,0.008297,0.008504,0.008504,1.713119,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.955722,0.772089,No Data,1.079994,1.628102,0.444080,1.853874,1.955722,0.772089,1.079994,1.628102,
4,conesQuarterSize,FLOAT,16,8,NO,64,5,7,8.533334,15.000000,0.100000,0.000000,1,1,64 x 7,32 x 1,32 x 1,256 x 1,128 x 1,128 x 1,32 x 4,128 x 1,256 x 2,64 x 1,64 x 1,32 x 4,16 x 1,256 x 2,32 x 1,64 x 2,32 x 1,128 x 1,YES,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12030,12030,450,375,0.000000,0.000054,0.000208,0.000131,0.000153,0.000113,YES,YES,YES,YES,YES,0.000605,0.000014,0.000014,0.011504,0.000749,0.000749,YES,0.000221,0.000000,0.013152,0.000443,0.007423,0.001936,0.000717,0.000712,0.000717,YES,YES,YES,YES,YES,0.000000,0.000404,0.000146,0.000092,0.000105,YES,YES,YES,YES,YES,0.013183,0.013624,0.013845,0.013845,1.713735,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,2.344841,2.344841,0.790726,0.161695,0.111479,0.073938,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.318741,0.778125,No Data,1.098254,No Data,0.586087,1.326739,1.318741,0.778125,1.098254,No Data,
5,conesHalfSize,FLOAT,16,8,YES,128,5,7,17.066668,15.000000,0.100000,0.000000,1,1,32 x 4,32 x 1,16 x 1,128 x 1,128 x 1,64 x 1,16 x 1,64 x 3,64 x 3,128 x 1,32 x 1,32 x 4,16 x 1,256 x 1,128 x 2,256 x 1,64 x 1,256 x 1,YES,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12030,12030,900,750,0.000001,0.000435,0.000639,0.000246,0.000150,0.000148,YES,YES,YES,YES,YES,0.001184,0.000017,0.000017,0.067780,0.004337,0.004337,YES,0.001567,0.000000,0.075337,0.001632,0.049909,0.012650,0.003270,0.001123,0.000809,YES,YES,YES,YES,YES,0.000000,0.003049,0.000799,0.000283,0.000203,YES,YES,YES,YES,YES,0.075369,0.076937,0.077561,0.077561,14.189002,,4.300188,4.300188,0.691908,0.197144,0.147879,0.107778,,4.300188,4.300188,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.950605,0.720044,No Data,1.030051,1.255593,0.413632,1.267383,2.950605,0.720044,1.030051,1.255593,
5,conesHalfSize,FLOAT,16,8,NO,128,5,7,17.066668,15.000000,0.100000,0.000000,1,1,32 x 3,256 x 1,16 x 1,128 x 1,128 x 1,64 x 1,16 x 1,256 x 1,256 x 2,256 x 2,32 x 1,128 x 1,16 x 1,256 x 2,128 x 3,64 x 1,256 x 1,256 x 1,YES,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12030,12030,900,750,0.000001,0.000437,0.000741,0.000377,0.000267,0.000279,YES,YES,YES,YES,YES,0.001665,0.000017,0.000017,0.087047,0.004342,0.004342,YES,0.001531,0.000000,0.095046,0.001629,0.059423,0.017180,0.007018,0.002082,0.001341,YES,YES,YES,YES,YES,0.000000,0.003080,0.000801,0.000284,0.000174,YES,YES,YES,YES,YES,0.095097,0.096737,0.097385,0.097385,14.198993,,4.300188,4.300188,0.691908,0.197144,0.147879,0.107778,,4.300188,4.300188,0.691908,0.197144,0.147879,0.107778,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.377500,0.722382,No Data,1.035437,No Data,0.604081,1.417625,2.377500,0.722382,1.035437,No Data,
6,conesFullSizeCropped,FLOAT,16,8,YES,256,5,7,34.133335,15.000000,0.100000,0.000000,1,1,32 x 2,32 x 1,16 x 1,128 x 2,128 x 2,128 x 1,16 x 1,128 x 2,64 x 4,32 x 1,32 x 1,16 x 1,16 x 1,256 x 1,128 x 2,128 x 1,128 x 1,256 x 1,YES,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12030,12030,900,750,0.000001,0.001116,0.001290,0.000481,0.000325,0.000242,YES,YES,YES,YES,YES,0.002337,0.000022,0.000022,0.148033,0.008965,0.008965,YES,0.003140,0.000000,0.163580,0.001646,0.106470,0.029378,0.007707,0.002807,0.001654,YES,YES,YES,YES,YES,0.000000,0.006249,0.001744,0.000538,0.000430,YES,YES,YES,YES,YES,0.163613,0.165266,0.165903,0.165903,29.818397,,17.044764,17.044764,0.594416,0.318496,0.286961,0.265836,,17.044764,17.044764,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.833360,0.626429,No Data,1.023628,1.235726,0.484545,1.447854,2.833360,0.626429,1.023628,1.235726,
6,conesFullSizeCropped,FLOAT,16,8,NO,256,5,7,34.133335,15.000000,0.100000,0.000000,1,1,32 x 16,32 x 1,16 x 1,128 x 1,32 x 1,256 x 1,16 x 1,256 x 1,256 x 1,128 x 2,32 x 1,256 x 1,16 x 1,256 x 1,128 x 3,128 x 1,64 x 1,256 x 1,YES,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12030,12030,900,750,0.000001,0.001116,0.001458,0.000731,0.000608,0.000447,YES,YES,YES,YES,YES,0.003243,0.000023,0.000023,0.186401,0.008748,0.008748,YES,0.003068,0.000000,0.202614,0.001667,0.124242,0.036068,0.017229,0.005904,0.002968,YES,YES,YES,YES,YES,0.000000,0.006177,0.001633,0.000538,0.000405,YES,YES,YES,YES,YES,0.202662,0.204347,0.205011,0.205011,29.814160,,17.044764,17.044764,0.594416,0.318496,0.286961,0.265836,,17.044764,17.044764,0.594416,0.318496,0.286961,0.265836,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.311851,0.624213,No Data,1.057942,No Data,0.618482,1.326904,2.311851,0.624213,1.057942,No Data,
0,tsukubaSetHalfSize,DOUBLE,16,8,YES,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,64 x 6,64 x 5,128 x 3,64 x 6,64 x 6,64 x 6,64 x 6,64 x 5,128 x 1,128 x 1,128 x 1,64 x 5,16 x 1,16 x 1,128 x 3,64 x 5,128 x 3,128 x 3,YES,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12030,12030,192,144,0.000000,0.000012,0.000026,0.000025,0.000024,0.000023,YES,YES,YES,YES,YES,0.000097,0.000010,0.000010,0.000487,0.000124,0.000123,YES,0.000019,0.000000,0.000754,0.000102,0.000117,0.000092,0.000090,0.000090,0.000097,YES,YES,YES,YES,YES,0.000000,0.000030,0.000033,0.000031,0.000029,YES,YES,YES,YES,YES,0.000773,0.000878,0.000921,0.000921,0.015712,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,No Data,No Data,No Data,No Data,No Data,0.909181,No Data,0.780484,0.706711,1.098254,1.550174,
0,tsukubaSetHalfSize,DOUBLE,16,8,NO,8,5,7,1.066667,15.000000,0.100000,0.000000,1,1,32 x 14,256 x 2,256 x 1,256 x 1,32 x 4,32 x 16,32 x 3,32 x 4,128 x 1,16 x 1,32 x 5,64 x 3,16 x 1,128 x 1,32 x 2,64 x 5,32 x 4,128 x 2,YES,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12030,12030,192,144,0.000000,0.000012,0.000031,0.000031,0.000031,0.000027,YES,YES,YES,YES,YES,0.000120,0.000011,0.000010,0.000977,0.000122,0.000122,YES,0.000024,0.000000,0.001266,0.000102,0.000201,0.000196,0.000197,0.000191,0.000191,YES,YES,YES,YES,YES,0.000000,0.000031,0.000031,0.000030,0.000030,YES,YES,YES,YES,YES,0.001284,0.001386,0.001428,0.001428,0.015721,,0.896918,0.896918,0.759404,0.119900,0.017687,0.000000,,0.897712,0.897712,0.759549,0.120190,0.017650,0.000000,,0.003219,0.003219,0.002025,0.000398,0.000000,0.000000,No Data,No Data,No Data,No Data,No Data,0.906835,No Data,1.414730,0.717495,1.010627,No Data,
1,tsukubaSet,DOUBLE,16,8,YES,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,32 x 5,64 x 1,32 x 1,32 x 4,16 x 1,32 x 4,32 x 1,32 x 1,32 x 4,256 x 1,256 x 1,32 x 3,16 x 1,32 x 1,16 x 1,32 x 1,32 x 2,64 x 4,YES,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12030,12030,384,288,0.000001,0.000019,0.000032,0.000029,0.000029,0.000028,YES,YES,YES,YES,YES,0.000119,0.000012,0.000011,0.000837,0.000246,0.000246,YES,0.000088,0.000000,0.001326,0.000299,0.000387,0.000128,0.000107,0.000107,0.000108,YES,YES,YES,YES,YES,0.000000,0.000116,0.000045,0.000038,0.000046,YES,YES,YES,YES,YES,0.001353,0.001657,0.001793,0.001793,0.194487,,1.490207,1.490207,0.399143,0.222937,0.073667,0.023248,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,No Data,No Data,No Data,No Data,No Data,0.796381,No Data,2.056566,0.627357,1.003569,1.912436,
1,tsukubaSet,DOUBLE,16,8,NO,16,5,7,2.133333,15.000000,0.100000,0.000000,1,1,128 x 4,64 x 4,128 x 1,64 x 1,64 x 1,32 x 5,32 x 10,64 x 8,32 x 4,256 x 1,128 x 1,32 x 4,16 x 1,32 x 2,16 x 1,256 x 1,32 x 2,64 x 5,YES,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12030,12030,384,288,0.000001,0.000019,0.000045,0.000042,0.000041,0.000041,YES,YES,YES,YES,YES,0.000169,0.000012,0.000011,0.002426,0.000253,0.000253,YES,0.000088,0.000000,0.002972,0.000295,0.001233,0.000334,0.000282,0.000287,0.000291,YES,YES,YES,YES,YES,0.000000,0.000118,0.000046,0.000040,0.000048,YES,YES,YES,YES,YES,0.002998,0.003293,0.003430,0.003430,0.173385,,1.490207,1.490207,0.399143,0.222937,0.073667,0.023248,,1.490623,1.490623,0.399016,0.223054,0.073794,0.023266,,0.004123,0.004123,0.001655,0.000461,0.000335,0.000000,No Data,No Data,No Data,No Data,No Data,0.696125,No Data,1.726892,0.708111,1.017164,No Data,
2,venus,DOUBLE,16,8,YES,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,128 x 1,256 x 1,32 x 1,32 x 8,256 x 1,16 x 1,64 x 2,64 x 2,128 x 2,64 x 1,64 x 1,256 x 1,16 x 1,256 x 1,16 x 1,64 x 1,256 x 1,32 x 5,YES,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12030,12030,434,383,0.000001,0.000029,0.000067,0.000045,0.000036,0.000036,YES,YES,YES,YES,YES,0.000185,0.000012,0.000011,0.001424,0.000409,0.000409,YES,0.000153,0.000000,0.002209,0.000425,0.000849,0.000207,0.000124,0.000119,0.000119,YES,YES,YES,YES,YES,0.000000,0.000233,0.000072,0.000053,0.000051,YES,YES,YES,YES,YES,0.002234,0.002664,0.002866,0.002866,0.481046,,0.446534,0.446534,0.883962,0.025249,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,No Data,No Data,No Data,No Data,No Data,0.734501,No Data,2.097906,0.904388,1.020272,2.097721,
2,venus,DOUBLE,16,8,NO,21,5,7,2.800000,15.000000,0.100000,0.000000,1,1,128 x 3,16 x 1,32 x 1,256 x 1,64 x 1,16 x 1,32 x 14,256 x 2,256 x 1,256 x 1,16 x 1,256 x 1,16 x 1,128 x 2,32 x 1,32 x 1,256 x 1,256 x 1,YES,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12030,12030,434,383,0.000000,0.000029,0.000102,0.000073,0.000059,0.000059,YES,YES,YES,YES,YES,0.000294,0.000012,0.000011,0.004470,0.000411,0.000411,YES,0.000140,0.000000,0.005359,0.000425,0.002650,0.000735,0.000363,0.000357,0.000363,YES,YES,YES,YES,YES,0.000000,0.000233,0.000070,0.000056,0.000053,YES,YES,YES,YES,YES,0.005386,0.005816,0.006012,0.006012,0.479359,,0.446534,0.446534,0.883962,0.025249,0.013987,0.005102,,0.446589,0.446589,0.883968,0.025219,0.013987,0.005102,,0.002184,0.002184,0.001432,0.000168,0.000102,0.000000,No Data,No Data,No Data,No Data,No Data,0.639466,No Data,1.566153,0.901954,1.060018,No Data,
3,barn1,DOUBLE,16,8,YES,32,5,7,4.266667,15.000000,0.100000,0.000000,1,1,64 x 2,256 x 1,32 x 1,64 x 4,128 x 1,16 x 1,128 x 2,32 x 5,256 x 1,256 x 1,256 x 1,256 x 1,16 x 1,256 x 1,128 x 1,256 x 1,16 x 1,256 x 1,YES,CUDA,NVIDIA A100-SXM4-40GB with 108 multiprocessors,12030,12030,432,381,0.000001,0.000038,0.000107,0.000050,0.000045,0.000044,YES,YES,YES,YES,YES,0.000246,0.000013,0.000012,0.003586,0.000592,0.000592,YES,0.000221,0.000000,0.004698,0.000415,0.002318,0.000689,0.000212,0.000183,0.000184,YES,YES,YES,YES,YES,0.000000,0.000347,0.000110,0.000072,0.000064,YES,YES,YES,YES,YES,0.004721,0.005142,0.005338,0.005338,0.773412,,0.500125,0.500125,0.850211,0.039127,0.025742,0.003682,,0.500357,0.500357,0.850211,0.039139,0.025791,0.003682,,0.001324,0.001324,0.000735,0.000097,0.000073,0.000000,No Data,No Data,No Data,No Data,No Data,0.540345,No Data,2.292471,0.828826,1.079911,1.872577,
